Product Image,Image Link,Product Name,ASIN,Amazon FBA estimated fees,Estimated Monthly Sales,Est. Sales Rank,Sales Rank (30 days),Sales Rank (90 days),Sourcing URL,Sourcing Price,Amazon URL,Amazon Price,Amazon on Listing,Number of sellers on the listing,Number of Reviews,Estimated Gross Profit,Estimated Gross Profit Margin,Estimated Net Profit,Estimated Net Profit Margin
Image,https://m.media-amazon.com/images/I/41uL8XF8PGL.jpg,B. Tiki Retreat Bug Hotel,B07BF2CD75,$11.53 ,21,853,1475,1384,https://www.mastermindtoys.com/collections/age-8/products/b-tiki-retreat-bug-hotel,$14.99 ,https://amazon.ca/dp/B07BF2CD75/,$48.89 ,No,1,3624,$33.90 ,226%,$22.37 ,149.23%
Image,https://m.media-amazon.com/images/I/41daiPmUc0L.jpg,Coop Hydro Blue Lacrosse Set,B08H1LBQMZ,$15.43 ,22,2244,1298,699,https://www.mastermindtoys.com/collections/outdoor-active-play/products/coop-hydro-lacrosse-set-blue,$11.99 ,https://amazon.ca/dp/B08H1LBQMZ/,$31.86 ,Yes,2,1292,$19.87 ,166%,$4.44 ,37.03%
Image,https://m.media-amazon.com/images/I/4199p90A7cL.jpg,Lulujo - Baby's First Year - Loved Beyond Measure Milestone Blanket,B01N0O7QKJ,$14.11 ,19,2467,3993,4245,https://www.mastermindtoys.com/collections/baby-toddler/products/lulujo-babys-first-year-loved-beyond-measure-milestone-blanket,$29.99 ,https://amazon.ca/dp/B01N0O7QKJ/,$49.10 ,No,3,43,$19.11 ,64%,$5.00 ,16.67%
Image,https://m.media-amazon.com/images/I/31c1-pXk+4L.jpg,Bostitch Premium Standard Staples,B00006IFMO,$8.62 ,51,2698,1080,1285,https://canada.michaels.com/en/bostitch-premium-standard-staples/10436990.html,$3.49 ,https://amazon.ca/dp/B00006IFMO/,$16.64 ,Yes,2,4900,$13.15 ,377%,$4.53 ,129.80%
Image,https://m.media-amazon.com/images/I/717FXZ8lc2L.jpg,"Tulip Glitter Dimensional Fabric Paint, Multi",B007RAQTSI,$10.15 ,21,3254,3210,4002,https://canada.michaels.com/en/glitter-dimensional-fabric-paint-multi/10646711.html,$6.99 ,https://amazon.ca/dp/B007RAQTSI/,$26.77 ,No,2,9821,$19.78 ,283%,$9.63 ,137.77%
Image,https://m.media-amazon.com/images/I/61kaieIkmDL.jpg,Skip Hop Zoo 3-in-1 Ride On Unicorn,B07PZGSWN9,$48.92 ,51,10187,24203,18080,https://www.mastermindtoys.com/collections/baby-toddler/products/skip-hop-zoo-3-in-1-ride-on-toy-unicorn,$89.99 ,https://amazon.ca/dp/B07PZGSWN9/,$158.88 ,No,2,3051,$68.89 ,77%,$19.97 ,22.19%
Image,https://m.media-amazon.com/images/I/41SQr3u0TbL.jpg,Nee-Doh Colour Change,B07XLDRB2S,$8.63 ,17,14495,21300,17207,https://www.mastermindtoys.com/collections/loot-bag-toys/products/nee-doh-colour-change,$4.99 ,https://amazon.ca/dp/B07XLDRB2S/,$16.79 ,No,10,2213,$11.80 ,236%,$3.17 ,63.53%
Image,https://m.media-amazon.com/images/I/31pze0Vt5QL.jpg,Faber-Castell Pitt Artist Pen Superfine Fineliner - Black 0.3mm,B0025TUZ8Q,$6.92 ,6,15895,30842,27727,https://canada.michaels.com/en/faber-castell-pitt-artist-pen/M10185299.html?dwvar_M10185299_size=0.5%20mm&dwvar_M10185299_color=Black,$5.49 ,https://amazon.ca/dp/B0025TUZ8Q/,$22.04 ,No,6,1695,$16.55 ,301%,$9.63 ,175.41%
Image,https://m.media-amazon.com/images/I/51TjS5edM3L.jpg,LEGO Speed Champions Toyota GR Supra 76901 Building Kit,B08YPCDG29,$13.91 ,19,17179,17222,15573,https://www.mastermindtoys.com/collections/construction-toys/products/lego-speed-champions-toyota-gr-supra-76901-building-kit,$24.99 ,https://amazon.ca/dp/B08YPCDG29/,$42.99 ,No,18,5700,$18.00 ,72%,$4.09 ,16.37%
Image,https://m.media-amazon.com/images/I/312f6LjDKZL.jpg,"Winsor & Newton Cotman Water Color, 8ml, Ivory Black",B004QJU51K,$6.96 ,18,17674,28555,26390,https://canada.michaels.com/en/winsor-and-newton-cotman-watercolour-8ml/M10014658.html?dwvar_M10014658_size=8%20fl%20oz&dwvar_M10014658_color=Raw%20Umber,$7.99 ,https://amazon.ca/dp/B004QJU51K/,$17.63 ,Yes,2,6110,$9.64 ,121%,$2.68 ,33.54%
